Type,Era,Language,Geography,survey,objectID,mediaID,omekaID,Title,URL
Art,Frühe Neuzeit,de,Switzerland and Neighbouring Countries,,abb23902,m23902,11437,Peter Ochs,https://forschung.stadtgeschichtebasel.ch/items/abb23902.html#m23902
"Scan of Newspapers, Posters, Lists etc.",Frühe Neuzeit,de,Switzerland,,abb16683,m16683,10928,Monatsblatt Februar,https://forschung.stadtgeschichtebasel.ch/items/abb16683.html#m16683
Drawing (Historical Drawing),Frühe Neuzeit,de,Basel,1,abb22924,m22924,11413,Federzeichnung eines zirkumpolaren Horizontalpanoramas der Stadt Basel,https://forschung.stadtgeschichtebasel.ch/items/abb22924.html#m22924
Art,Frühe Neuzeit,de,Basel,,abb35209,m35209,12045,Der Spalenschwibbogen und das Kornhaus kurz vor dem Abbruch im 19. Jahrhundert,https://forschung.stadtgeschichtebasel.ch/items/abb35209.html#m35209
Drawing (Historical Drawing),Frühe Neuzeit,de,Basel,1,abb13176,m13176,10884,‹Fressender Narr› aus dem Stammbuch von Jacob Götz,https://forschung.stadtgeschichtebasel.ch/items/abb13176.html#m13176
Photograph (Historical Scenes),19. Jahrhundert,de,Switzerland,,abb37932,m33188,11770,"Romanische Kirche von Moutier-Grandval vor ihrer Zerstörung im Jahre 1859, Kalotypie von Edouard Quiquerez",https://forschung.stadtgeschichtebasel.ch/items/abb37932.html#m33188
Object,Frühe Neuzeit,de,Basel,1,abb12965,m12965,10868,"Kartoffelpflanze, Auszug aus einem Herbarium",https://forschung.stadtgeschichtebasel.ch/items/abb12965.html#m12965
Drawing (Historical Drawing),19. Jahrhundert,de,Basel,,abb95513,m95513,12271,Vogelschauansicht von Basel,https://forschung.stadtgeschichtebasel.ch/items/abb95513.html#m95513
"Scan of Newspapers, Posters, Lists etc.",19. Jahrhundert,de,Basel,1,abb91960,m91960,12904,"‹Gegen den Eisenbahnhandel›, anonyme antisemitische Karikatur in der Extraausgabe der Basler ‹Allgemeinen Schweizer Zeitung› vom 14. Februar 1898",https://forschung.stadtgeschichtebasel.ch/items/abb91960.html#m91960
Art,19. Jahrhundert,de,Dreiland/NW-Switzerland/Upper Rhine,,abb94712,m94712,12184,"‹Die Theilung›, Karikatur, vermutlich von Ludwig Adam Kelterborn, wahrscheinlich 1833",https://forschung.stadtgeschichtebasel.ch/items/abb94712.html#m94712
